Data,USDBRL ,IBOVESPA,OURO,SPX
1995-11-08,0.961,4117.07,385.1,591.71
1995-11-09,0.9612,4112.92,386.5,593.26
1995-11-10,0.9612,3957.95,389.5,592.72
1995-11-13,0.9625,3787.04,387.4,592.3
1995-11-14,0.9623,3797.35,386.0,589.29
1995-11-15,0.962,3797.35,386.25,593.96
1995-11-16,0.9618,4003.61,386.0,597.34
1995-11-17,0.9611,4063.58,387.3,600.07
1995-11-20,0.9621,3966.07,386.9,596.85
1995-11-21,0.9633,4059.55,385.7,600.24
1995-11-22,0.9643,4105.77,381.9,598.4
1995-11-23,0.9643,4191.04,383.1,598.4
1995-11-24,0.9645,4081.65,384.0,599.97
1995-11-27,0.9641,4105.16,385.3,601.32
1995-11-28,0.9643,4049.81,388.8,606.45
1995-11-29,0.9642,4182.47,389.1,607.64
1995-11-30,0.966,4378.57,387.8,605.37
1995-12-01,0.9661,4345.99,386.6,606.98
1995-12-04,0.9663,4334.16,386.2,613.68
1995-12-05,0.9662,4281.1,387.15,617.68
1995-12-06,0.966,4303.61,388.9,620.18
1995-12-07,0.966,4318.79,389.1,616.17
1995-12-08,0.9665,4299.25,390.0,617.48
1995-12-11,0.9665,4306.25,388.6,619.52
1995-12-12,0.966,4365.61,388.9,618.78
1995-12-13,0.9665,4369.8,386.6,621.69
1995-12-14,0.9668,4183.32,386.2,616.92
1995-12-15,0.9675,4158.67,386.5,616.34
1995-12-18,0.9675,4056.01,388.1,606.81
1995-12-19,0.9674,4034.99,387.7,611.93
1995-12-20,0.9681,4205.71,388.2,605.94
1995-12-21,0.9689,4252.03,388.05,610.49
1995-12-22,0.9699,4343.22,387.5,611.96
1995-12-25,0.9699,4343.22,388.0,611.96
1995-12-26,0.9697,4364.04,388.05,614.3
1995-12-27,0.9704,4346.26,387.05,614.53
1995-12-28,0.9721,4299.0,387.15,614.12
1995-12-29,0.9717,4299.0,387.1,615.93
1996-01-01,0.9717,4299.0,387.1,615.93
1996-01-02,0.9721,4390.05,391.25,620.73
1996-01-03,0.9722,4681.48,395.3,621.32
1996-01-04,0.9723,4684.06,394.0,617.7
1996-01-05,0.9719,4694.34,396.3,616.71
1996-01-08,0.9721,4741.01,396.95,618.46
1996-01-09,0.9721,4653.88,396.3,609.45
1996-01-10,0.9721,4622.19,399.8,598.48
1996-01-11,0.9727,4748.68,399.0,602.69
1996-01-12,0.9729,4846.59,396.3,601.81
1996-01-15,0.9722,4895.44,396.0,599.82
1996-01-16,0.9737,4846.78,398.6,608.44
1996-01-17,0.9723,4836.22,399.8,606.37
1996-01-18,0.9724,4833.85,397.5,608.24
1996-01-19,0.9729,4909.03,399.8,611.83
1996-01-22,0.9741,4893.81,403.6,613.4
1996-01-23,0.9761,4985.2,403.5,612.79
1996-01-24,0.977,4945.25,403.65,619.96
1996-01-25,0.977,4945.25,406.85,617.03
1996-01-26,0.9779,4907.71,406.2,621.62
1996-01-29,0.9779,4934.81,406.3,624.22
1996-01-30,0.9783,5133.5,404.7,630.15
1996-01-31,0.9782,5151.54,406.3,636.02
1996-02-01,0.9781,5269.38,411.6,638.46
1996-02-02,0.9781,5410.91,415.5,635.84
1996-02-05,0.9781,5332.95,413.95,641.43
1996-02-06,0.9781,5354.09,412.4,646.33
1996-02-07,0.9782,5283.01,409.2,649.93
1996-02-08,0.9782,5322.63,409.3,656.07
1996-02-09,0.9784,5305.41,405.8,656.37
1996-02-12,0.9782,5338.96,401.4,661.45
